x,y,covariance
0.01,0.23,"[[ 1.49354003e-09 -1.10898032e-10]
 [-1.10898032e-10  6.97638796e-10]]"
0.01,-0.23,"[[ 1.55852744e-09 -6.31995775e-10]
 [-6.31995775e-10  9.01646300e-10]]"
0.01,0.01,"[[ 1.35344881e-09 -2.71614590e-10]
 [-2.71614590e-10  1.48675609e-09]]"
0.01,-0.01,"[[ 1.62968918e-09 -8.10891116e-10]
 [-8.10891116e-10  1.33947847e-09]]"
0.01,0.08,"[[1.08018873e-09 3.52514416e-10]
 [3.52514416e-10 1.53729415e-09]]"
0.01,-0.08,"[[ 9.01853360e-10 -4.26260182e-10]
 [-4.26260182e-10  3.28885753e-09]]"
0.01,0.16,"[[ 1.38789875e-09 -4.80436103e-11]
 [-4.80436103e-11  1.39133467e-09]]"
0.01,-0.16,"[[2.52064907e-09 9.82479017e-11]
 [9.82479017e-11 2.04332979e-09]]"
0.01,0.05,"[[1.99368489e-09 3.67961924e-10]
 [3.67961924e-10 1.19459148e-09]]"
0.01,-0.05,"[[1.14429650e-09 7.25888935e-10]
 [7.25888935e-10 3.15735042e-09]]"
0.01,0.1,"[[9.14213193e-09 4.69175044e-09]
 [4.69175044e-09 2.80622569e-09]]"
0.01,-0.1,"[[ 1.16384099e-09 -9.57549203e-10]
 [-9.57549203e-10  4.61111965e-09]]"
0.01,0.03,"[[1.17667877e-09 1.11426786e-10]
 [1.11426786e-10 7.63156063e-10]]"
0.01,-0.03,"[[ 1.42704112e-09 -1.25489714e-09]
 [-1.25489714e-09  2.61381761e-09]]"
0.01,0.12,"[[ 1.06022297e-09 -1.05685982e-11]
 [-1.05685982e-11  1.31338246e-09]]"
0.01,-0.12,"[[2.02900324e-09 5.09947334e-10]
 [5.09947334e-10 3.07100080e-09]]"
0.01,0.21,"[[ 1.42298059e-09 -1.42795423e-10]
 [-1.42795423e-10  1.34353459e-09]]"
0.01,-0.21,"[[ 2.03520793e-09 -3.71225612e-10]
 [-3.71225612e-10  3.38611624e-10]]"
0.01,0.14,"[[1.01398942e-09 2.69021483e-10]
 [2.69021483e-10 1.14072022e-09]]"
0.01,-0.14,"[[ 1.41471757e-09 -1.43926276e-09]
 [-1.43926276e-09  2.95752922e-09]]"
-0.01,0.25,"[[1.04378055e-09 4.76021854e-10]
 [4.76021854e-10 8.96980770e-10]]"
-0.01,-0.25,"[[1.40451987e-09 9.57098848e-10]
 [9.57098848e-10 1.01260837e-09]]"
-0.01,0.18,"[[6.85609033e-10 1.51600838e-10]
 [1.51600838e-10 1.66834302e-09]]"
-0.01,-0.18,"[[2.05893639e-09 3.43416271e-10]
 [3.43416271e-10 1.97904576e-09]]"
-0.01,0.23,"[[1.04196088e-09 3.75676580e-10]
 [3.75676580e-10 7.85516524e-10]]"
-0.01,-0.23,"[[ 1.05877535e-09 -2.32667834e-10]
 [-2.32667834e-10  3.55186031e-10]]"
-0.01,0.01,"[[ 1.00000525e-09 -3.04163888e-10]
 [-3.04163888e-10  2.71590807e-09]]"
-0.01,-0.01,"[[ 1.43557033e-09 -7.88660177e-10]
 [-7.88660177e-10  2.18528058e-09]]"
-0.01,0.08,"[[1.59264847e-09 2.15685220e-09]
 [2.15685220e-09 2.94609738e-09]]"
-0.01,-0.08,"[[ 1.17940898e-09 -1.15583617e-09]
 [-1.15583617e-09  5.39220228e-09]]"
-0.01,0.16,"[[3.76684869e-09 4.84755117e-09]
 [4.84755117e-09 6.34889701e-09]]"
-0.01,-0.16,"[[ 3.28751789e-09 -2.46697396e-10]
 [-2.46697396e-10  1.51706375e-09]]"
-0.01,0.05,"[[1.91931198e-09 2.18975635e-09]
 [2.18975635e-09 2.55308230e-09]]"
-0.01,-0.05,"[[ 6.31409981e-10 -4.06695729e-10]
 [-4.06695729e-10  4.26745105e-09]]"
-0.01,0.1,"[[1.14185364e-09 8.64842402e-11]
 [8.64842402e-11 1.46282128e-09]]"
-0.01,-0.1,"[[2.12040232e-09 5.80670763e-10]
 [5.80670763e-10 2.42984816e-09]]"
-0.01,0.03,"[[ 1.32914874e-09 -4.52827511e-10]
 [-4.52827511e-10  1.42628343e-09]]"
-0.01,-0.03,"[[ 7.19384494e-10 -3.87638456e-10]
 [-3.87638456e-10  2.72676127e-09]]"
-0.01,0.12,"[[1.14654303e-09 1.43072680e-12]
 [1.43072680e-12 1.40642374e-09]]"
-0.01,-0.12,"[[ 1.78658850e-09 -1.88017945e-09]
 [-1.88017945e-09  3.44995303e-09]]"
