x,y,covariance
-0.01,-0.23,"[[2.89977417e-09 7.64269986e-10] [7.64269986e-10 2.74191313e-10]]"
-0.01,0.01,"[[2.43427950e-09 2.00428096e-09] [2.00428096e-09 1.78940962e-09]]"
-0.01,-0.01,"[[2.06117096e-09 1.51521640e-09] [1.51521640e-09 1.72639906e-09]]"
-0.01,0.08,"[[2.85855025e-09 3.66397886e-09] [3.66397886e-09 4.70323528e-09]]"
-0.01,-0.08,"[[1.77797850e-09 9.08829715e-10] [9.08829715e-10 2.55240025e-09]]"
-0.01,0.16,"[[3.42551078e-09 5.08379004e-09] [5.08379004e-09 7.58574729e-09]]"
-0.01,-0.16,"[[2.40580745e-09 7.64386759e-10] [7.64386759e-10 2.37357389e-09]]"
-0.01,0.05,"[[2.51217349e-09 2.94273661e-09] [2.94273661e-09 3.51467332e-09]]"
-0.01,-0.05,"[[2.14959006e-09 1.02461583e-09] [1.02461583e-09 1.41378424e-09]]"
-0.01,0.1,"[[3.00161148e-09 4.88159521e-09] [4.88159521e-09 8.00520837e-09]]"
-0.01,-0.1,"[[2.49255799e-09 8.43084842e-10] [8.43084842e-10 2.72954285e-09]]"
-0.01,0.03,"[[2.16788547e-09 2.77955929e-09] [2.77955929e-09 3.69571549e-09]]"
-0.01,-0.03,"[[2.79495480e-09 1.32105995e-09] [1.32105995e-09 1.49919774e-09]]"
-0.01,0.12,"[[3.50112165e-09 4.66422707e-09] [4.66422707e-09 6.22230876e-09]]"
-0.01,-0.12,"[[5.97718537e-09 1.70277168e-13] [1.70277168e-13 1.58945820e-09]]"
-0.01,0.21,"[[4.74766688e-09 6.05320577e-09] [6.05320577e-09 7.81551814e-09]]"
-0.01,-0.21,"[[2.68423277e-09 2.67101863e-10] [2.67101863e-10 2.21832907e-10]]"
-0.01,0.14,"[[3.49060357e-09 4.81410239e-09] [4.81410239e-09 6.66701096e-09]]"
-0.01,-0.14,"[[2.23506742e-09 3.98924012e-10] [3.98924012e-10 2.03135987e-09]]"
0.08,0.25,"[[4.97551730e-07 3.42947201e-07] [3.42947201e-07 1.44106008e-05]]"
0.08,-0.25,"[[3.81205388e-09 8.05601357e-10] [8.05601357e-10 1.99353680e-10]]"
0.08,0.18,"[[ 3.74051404e-09 -1.30501548e-08] [-1.30501548e-08  8.00076080e-08]]"
0.08,-0.18,"[[ 2.11923400e-09 -2.25003907e-10] [-2.25003907e-10  3.68574079e-09]]"
0.08,0.23,"[[ 7.33498292e-09 -2.05905968e-07] [-2.05905968e-07  4.20843775e-04]]"
0.08,-0.23,"[[3.31365457e-09 3.31106418e-10] [3.31106418e-10 5.76021856e-10]]"
0.08,0.01,"[[2.57653756e-09 5.88008609e-09] [5.88008609e-09 1.35365591e-08]]"
0.08,-0.01,"[[2.12411215e-09 4.85362330e-09] [4.85362330e-09 1.14444828e-08]]"
0.08,0.08,"[[3.41372184e-09 1.10109335e-08] [1.10109335e-08 3.75612880e-08]]"
0.08,-0.08,"[[2.91891259e-09 2.40799466e-09] [2.40799466e-09 2.61651713e-09]]"
0.08,0.16,"[[ 4.82312157e-09 -3.51547229e-09] [-3.51547229e-09  1.55683275e-08]]"
0.08,-0.16,"[[2.97064545e-09 2.52086006e-10] [2.52086006e-10 3.14576513e-09]]"
0.08,0.05,"[[2.55775140e-09 8.08749961e-09] [8.08749961e-09 2.58843340e-08]]"
0.08,-0.05,"[[2.20443822e-09 2.76741138e-09] [2.76741138e-09 3.63004375e-09]]"
0.08,0.1,"[[3.23475046e-09 8.16914353e-09] [8.16914353e-09 2.30609858e-08]]"
0.08,-0.1,"[[2.5892856e-09 9.0839603e-10] [9.0839603e-10 1.3645744e-09]]"
0.08,0.03,"[[2.50633213e-09 6.96247888e-09] [6.96247888e-09 1.97146546e-08]]"
0.08,-0.03,"[[2.11727569e-09 2.94402456e-09] [2.94402456e-09 4.09401784e-09]]"
0.08,0.12,"[[3.46021014e-09 5.76783454e-09] [5.76783454e-09 1.46448594e-08]]"
0.08,-0.12,"[[3.50529378e-09 8.12212662e-10] [8.12212662e-10 2.38703375e-09]]"
0.08,0.21,"[[ 6.52512382e-09 -1.70671843e-07] [-1.70671843e-07  4.72000552e-06]]"
0.08,-0.21,"[[ 5.02135205e-09 -1.24278210e-09] [-1.24278210e-09  1.12407663e-09]]"
0.08,0.14,"[[4.72552299e-09 3.92008198e-09] [3.92008198e-09 1.40530474e-08]]"
0.08,-0.14,"[[5.74732853e-09 1.42727303e-10] [1.42727303e-10 1.83910241e-09]]"
