x,y,mdq,mdu,sdq,sdu,bad_apples
0.08,0.16,0.0051039,0.0052311,5.89e-05,0.0001014,0
0.08,-0.16,0.0323274,0.0364058,4.65e-05,5.05e-05,0
0.08,0.05,0.0384616,0.0642961,4.37e-05,6.01e-05,0
0.08,-0.05,0.0380026,0.0102831,3.36e-05,3.8e-05,0
0.08,0.1,0.0190039,0.0295184,4.27e-05,7.74e-05,0
0.08,-0.1,0.0167894,-0.0059877,3.29e-05,5.74e-05,0
0.08,0.03,0.0387246,0.061881,2.9e-05,5.31e-05,0
0.08,-0.03,0.0385942,0.0235484,3.65e-05,3.67e-05,0
0.08,0.12,0.0186323,0.0254224,4.77e-05,3.71e-05,0
0.08,-0.12,0.0285693,-0.0105626,2.75e-05,6.8e-05,0
0.08,0.21,0.0048759,0.0037908,6.81e-05,0.0022371,0
0.08,-0.21,0.0015164,0.0275804,5.23e-05,4.69e-05,0
0.08,0.14,0.0193636,0.0193697,7.62e-05,2.96e-05,0
0.08,-0.14,0.0334071,-0.0086157,4e-05,6.7e-05,0
-0.08,0.25,0.0322907,0.0351759,3.33e-05,3.64e-05,0
-0.08,-0.25,0.0200053,0.017051,3.45e-05,2.66e-05,0
-0.08,0.18,0.0029901,0.0022125,4.51e-05,5.37e-05,0
-0.08,-0.18,0.0009005,0.0009659,4.38e-05,3.06e-05,0
-0.08,0.23,0.0320162,0.0259853,2.65e-05,2.61e-05,0
-0.08,-0.23,0.0093213,0.0091966,3.29e-05,7.1e-06,0
-0.08,0.01,0.010302,-0.0085011,3.12e-05,5.46e-05,0
-0.08,-0.01,0.0028252,-0.0025498,4.43e-05,4.74e-05,0
-0.08,0.08,0.0259557,-0.0042422,2.9e-05,5.14e-05,0
-0.08,-0.08,0.0001423,-0.0003255,3.6e-05,4.7e-05,0
-0.08,0.16,0.0452371,0.0205795,5.99e-05,2.59e-05,0
-0.08,-0.16,0.0036059,0.0215109,3.68e-05,2.4e-05,0
-0.08,0.05,0.027913,-0.012471,2.71e-05,5.83e-05,0
-0.08,-0.05,0.001731,-0.0015133,3.37e-05,4.8e-05,0
-0.08,0.1,0.0426748,0.002217,4.61e-05,4.54e-05,0
-0.08,-0.1,0.0003036,0.0004233,3.89e-05,5.62e-05,0
-0.08,0.03,0.0029781,-0.0013002,4.25e-05,3.77e-05,0
-0.08,-0.03,0.0041804,-0.0042737,3.84e-05,4.69e-05,0
-0.08,0.12,0.0244439,0.0045188,2.42e-05,4.2e-05,0
-0.08,-0.12,-0.0171525,0.0319708,6.41e-05,3.96e-05,0
-0.08,0.21,0.051078,0.0462862,5.26e-05,4.48e-05,0
-0.08,-0.21,0.0118476,0.0132152,3.35e-05,1.41e-05,0
-0.08,0.14,0.0472775,0.0170492,4.91e-05,2.21e-05,0
-0.08,-0.14,-0.0125209,0.0331618,5.55e-05,3.72e-05,0
0.16,0.25,0.0180658,0.0576042,5.97e-05,0.0001435,0
0.16,-0.25,0.0017047,0.0013104,5.89e-05,3.15e-05,0
0.16,0.18,0.0376318,0.0468139,7.27e-05,7.31e-05,0
0.16,-0.18,0.0027964,-0.0016115,4.59e-05,5.23e-05,0
0.16,0.23,0.0048057,0.0099598,6.36e-05,0.00016,0
0.16,-0.23,-0.0003003,0.0025431,5.23e-05,4.72e-05,0
0.16,0.01,0.039226,-0.0597632,0.0001186,0.0003929,0
0.16,-0.01,0.0764869,-0.1734855,0.0001895,0.0003048,0
0.16,0.08,0.0049125,0.0060007,5.31e-05,0.0001517,0
0.16,-0.08,0.0403639,0.0665478,4.44e-05,8.12e-05,0
0.16,0.16,0.0370095,0.0417882,7.11e-05,6.94e-05,0
0.16,-0.16,0.0185482,-0.0101707,3.03e-05,6.33e-05,0
0.16,0.05,0.0049689,-0.0342809,9.44e-05,0.005849,0
0.16,-0.05,0.0781708,0.8392971,7.92e-05,0.0005938,0
0.16,0.1,0.0183585,0.0177191,6.33e-05,5.19e-05,0
0.16,-0.1,0.0415538,0.0252526,4.51e-05,4.53e-05,0
0.16,0.03,0.0341561,-0.0587483,0.0001824,0.0007384,0
0.16,-0.03,0.0394076,-0.224056,7.75e-05,0.0005961,0
0.16,0.12,0.0375886,0.0374435,9.33e-05,7.63e-05,0
0.16,-0.12,0.0227809,0.0019189,2.45e-05,4.42e-05,0
0.16,0.21,0.037451,0.0598637,7.13e-05,9.6e-05,0
0.16,-0.21,-0.0001786,0.0002821,5.55e-05,6.29e-05,0
0.16,0.14,0.0375895,0.0396186,9.25e-05,6.97e-05,0
0.16,-0.14,0.0055468,-0.0016897,3.51e-05,3.7e-05,0
-0.16,0.25,-0.0008737,0.0017046,6.59e-05,7.31e-05,0
-0.16,-0.25,0.0123956,0.0085273,2.61e-05,1.03e-05,0
-0.16,0.18,-0.0007436,-0.0011873,4.81e-05,5.69e-05,0
-0.16,-0.18,0.027846,0.0215398,3.97e-05,2.24e-05,0
-0.16,0.23,-0.0025014,0.001787,5.39e-05,7.17e-05,0
-0.16,-0.23,0.0125782,0.0086468,2.68e-05,6.6e-06,0
-0.16,0.01,0.000285,-0.0027358,3.06e-05,3.09e-05,0
-0.16,-0.01,0.0004122,-0.002265,2.8e-05,4.15e-05,0
-0.16,0.08,0.001794,-0.0065526,3.71e-05,3.83e-05,0
-0.16,-0.08,-0.0179503,0.0310754,6.13e-05,3.47e-05,0
-0.16,0.16,-0.0001279,-0.0012025,4.38e-05,5.07e-05,0
-0.16,-0.16,0.0277825,0.0155355,4.36e-05,2.67e-05,0
-0.16,0.05,0.0007948,-0.0039324,4.23e-05,3.79e-05,0
-0.16,-0.05,0.0004918,-0.0011513,3.41e-05,4.47e-05,0
-0.16,0.1,0.0006297,-0.0029444,4.19e-05,3.57e-05,0
-0.16,-0.1,-0.0081192,0.0179114,5.02e-05,3.19e-05,0
-0.16,0.03,0.0006671,-0.0028958,3.56e-05,3.76e-05,0
-0.16,-0.03,4.03e-05,-0.0013076,3.04e-05,3.86e-05,0
-0.16,0.12,0.0005244,-0.0020236,4.35e-05,4.46e-05,0
-0.16,-0.12,5.94e-05,0.0003695,3.92e-05,4.92e-05,0
-0.16,0.21,-0.0012319,0.0001017,5.96e-05,5.92e-05,0
-0.16,-0.21,0.0184915,0.0082849,3.26e-05,1.33e-05,0
-0.16,0.14,-0.0001318,-0.0043154,3.97e-05,4.79e-05,0
-0.16,-0.14,-1.37e-05,0.0005345,3.56e-05,4.76e-05,0
0.05,0.25,0.0371637,0.0300653,0.0001157,9.78e-05,0
0.05,-0.25,0.021677,0.0229938,3.29e-05,2.22e-05,0
0.05,0.18,0.0397264,0.0335762,6.57e-05,6.28e-05,0
0.05,-0.18,-0.0072243,0.0118239,6.48e-05,4.17e-05,0
0.05,0.23,0.0378554,0.0290442,9.53e-05,8.57e-05,0
0.05,-0.23,0.0022224,0.0039673,4.97e-05,9.6e-06,0
0.05,0.01,0.0378113,0.0295744,4.06e-05,3.64e-05,0
0.05,-0.01,0.0381689,0.0183804,3.95e-05,3.8e-05,0
0.05,0.08,0.0397558,0.0436107,3.86e-05,4.25e-05,0
0.05,-0.08,0.0035832,-0.0008583,4.27e-05,3.63e-05,0
0.05,0.16,0.0394835,0.0350872,5.46e-05,4.64e-05,0
0.05,-0.16,0.0001937,0.0186524,4.9e-05,4.36e-05,0
0.05,0.05,0.0384191,0.0417732,3.9e-05,4.53e-05,0
0.05,-0.05,0.0186789,-0.0004624,2.67e-05,4.27e-05,0
0.05,0.1,0.0389773,0.0456547,4.08e-05,3.58e-05,0
0.05,-0.1,0.0118923,-0.0019444,3.36e-05,5.75e-05,0
0.05,0.03,0.0049179,0.0046456,4.24e-05,7.94e-05,0
0.05,-0.03,0.0381838,0.0082925,3.58e-05,3.34e-05,0
0.05,0.12,0.0379054,0.0405794,4.46e-05,3.68e-05,0
0.05,-0.12,0.0013929,-0.0007817,4.78e-05,5.84e-05,0
0.05,0.21,0.0371157,0.0298082,7.54e-05,7.75e-05,0
0.05,-0.21,0.0072587,0.0193334,4.34e-05,2.57e-05,0
0.05,0.14,0.0380191,0.0380047,5.28e-05,4.97e-05,0
