x,y,mdq,mdu,sdq,sdu,bad_apples
0.1,-0.1,-0.0001359,-0.0002141,5.39e-05,4.37e-05,0
0.1,0.03,0.0043037,-0.0131851,4.9e-05,0.0002803,0
0.1,-0.03,0.0001028,-0.0013104,5.33e-05,0.0001021,0
0.1,0.12,0.0070443,-0.005507,5.42e-05,0.00074,0
0.1,-0.12,-0.0005837,-0.0001374,4.8e-05,5.17e-05,0
0.1,0.21,0.0402333,-0.2359994,0.0018189,0.0053884,0
0.1,-0.21,-0.0005809,0.0002943,4.69e-05,5.01e-05,0
0.1,0.14,0.0067396,-0.0067045,5.72e-05,0.0009893,0
0.1,-0.14,-0.01444,0.0184195,6.91e-05,4.06e-05,0
-0.1,0.25,-0.0010545,-0.0010046,7.72e-05,7.72e-05,0
-0.1,-0.25,0.0004867,0.0002865,4.31e-05,2.38e-05,0
-0.1,0.18,-0.0017331,-0.0020811,6.37e-05,6.18e-05,0
-0.1,-0.18,-0.0063296,0.0094101,4.59e-05,2.51e-05,0
-0.1,0.23,-0.0005094,-0.0021491,6.95e-05,6.59e-05,0
-0.1,-0.23,-0.000105,8.28e-05,4.52e-05,1.18e-05,0
